[23:25:48] [INFO] received Windows console close event; shutting log-core down
[23:29:41] [INFO] received Windows console close event; shutting log-core down
[16:14:39] [INFO] received Windows console close event; shutting log-core down
[16:16:23] [INFO] received Windows console close event; shutting log-core down
[16:18:00] [INFO] received Windows console close event; shutting log-core down
[17:11:28] [INFO] received Windows console close event; shutting log-core down
[17:56:27] [INFO] received Windows console close event; shutting log-core down
[17:57:13] [INFO] received Windows console close event; shutting log-core down
[21:12:08] [INFO] received Windows console close event; shutting log-core down
[21:49:33] [INFO] received Windows console close event; shutting log-core down
[21:58:34] [INFO] received Windows console close event; shutting log-core down
[21:58:53] [INFO] received Windows console close event; shutting log-core down
[22:07:19] [INFO] received Windows console close event; shutting log-core down
[22:11:39] [INFO] received Windows console close event; shutting log-core down
[22:28:01] [INFO] received Windows console close event; shutting log-core down
[22:29:02] [INFO] received Windows console close event; shutting log-core down
[22:29:38] [INFO] received Windows console close event; shutting log-core down
[13:18:01] [INFO] received Windows console close event; shutting log-core down
[14:08:12] [INFO] received Windows console close event; shutting log-core down
[14:13:46] [INFO] received Windows console close event; shutting log-core down
[14:55:14] [INFO] received Windows console close event; shutting log-core down
[16:49:02] [INFO] received Windows console close event; shutting log-core down
